repo,condition,run_index,run_id,dispatched_at,total_energy_j
ArchiSteamFarm-SE,baseline,1,23715351068,2026-03-29T17:55:36.823466+00:00,1.117968
ArchiSteamFarm-SE,treatment,1,23715423132,2026-03-29T17:59:25.479182+00:00,0.3381106
ArchiSteamFarm-SE,baseline,2,23715461506,2026-03-29T18:01:11.776335+00:00,1.1647658
ArchiSteamFarm-SE,treatment,2,23715864424,2026-03-29T18:21:04.482034+00:00,0.39077
ArchiSteamFarm-SE,baseline,3,23715921322,2026-03-29T18:24:10.497651+00:00,1.1425812
ArchiSteamFarm-SE,treatment,3,23715996685,2026-03-29T18:28:00.395316+00:00,0.3364511
ArchiSteamFarm-SE,baseline,4,23716037686,2026-03-29T18:30:07.679398+00:00,1.1488511
ArchiSteamFarm-SE,treatment,4,23716113713,2026-03-29T18:33:56.852685+00:00,0.3492783
ArchiSteamFarm-SE,baseline,5,23716156078,2026-03-29T18:36:04.649010+00:00,1.1437464
ArchiSteamFarm-SE,treatment,5,23716227913,2026-03-29T18:39:53.612832+00:00,0.3215312
ArchiSteamFarm-SE,baseline,6,23716263547,2026-03-29T18:41:41.542582+00:00,1.1440108
ArchiSteamFarm-SE,treatment,6,23716338157,2026-03-29T18:45:30.715781+00:00,0.3200856
ArchiSteamFarm-SE,baseline,7,23716372630,2026-03-29T18:47:17.985333+00:00,1.1428226
ArchiSteamFarm-SE,treatment,7,23716446833,2026-03-29T18:51:06.997505+00:00,0.3263692
ArchiSteamFarm-SE,baseline,8,23716482308,2026-03-29T18:52:55.542222+00:00,1.1666325
ArchiSteamFarm-SE,treatment,8,23716555671,2026-03-29T18:56:45.116831+00:00,0.3314311
ArchiSteamFarm-SE,baseline,9,23716587381,2026-03-29T18:58:31.512493+00:00,1.1711233
ArchiSteamFarm-SE,treatment,9,23716666569,2026-03-29T19:02:20.295167+00:00,0.3357055
ArchiSteamFarm-SE,baseline,10,23716704149,2026-03-29T19:04:07.179820+00:00,1.1540625
ArchiSteamFarm-SE,baseline,11,23716803507,2026-03-29T19:09:15.378718+00:00,1.250212
ArchiSteamFarm-SE,treatment,11,23716885205,2026-03-29T19:13:24.335625+00:00,0.3622965
ArchiSteamFarm-SE,baseline,12,23716927624,2026-03-29T19:15:31.725139+00:00,1.1299977
ArchiSteamFarm-SE,treatment,12,23717002763,2026-03-29T19:19:20.800370+00:00,0.3180632
ArchiSteamFarm-SE,baseline,13,23717039030,2026-03-29T19:21:07.088219+00:00,1.1470234
ArchiSteamFarm-SE,treatment,13,23717116025,2026-03-29T19:25:00.921290+00:00,0.3768875
ArchiSteamFarm-SE,baseline,14,23717163422,2026-03-29T19:27:28.633050+00:00,1.0972464
ArchiSteamFarm-SE,treatment,14,23717230946,2026-03-29T19:30:57.472218+00:00,0.3411568
ArchiSteamFarm-SE,treatment,15,23717298016,2026-03-29T19:34:23.337682+00:00,0.3069523
ArchiSteamFarm-SE,baseline,16,23717333994,2026-03-29T19:36:09.545516+00:00,1.1672442
ArchiSteamFarm-SE,treatment,16,23717405446,2026-03-29T19:40:03.408150+00:00,0.3293403
ArchiSteamFarm-SE,baseline,17,23717440159,2026-03-29T19:41:49.778139+00:00,1.1303201
ArchiSteamFarm-SE,treatment,17,23717518464,2026-03-29T19:45:40.132872+00:00,0.339282
ArchiSteamFarm-SE,baseline,18,23717554602,2026-03-29T19:47:31.433087+00:00,1.1519999
ArchiSteamFarm-SE,treatment,18,23717628034,2026-03-29T19:51:21.218794+00:00,0.3830458
ArchiSteamFarm-SE,baseline,19,23717674621,2026-03-29T19:53:48.368666+00:00,1.1250165
ArchiSteamFarm-SE,treatment,19,23717746587,2026-03-29T19:57:37.132074+00:00,0.3585443
ArchiSteamFarm-SE,baseline,20,23717787012,2026-03-29T19:59:43.903891+00:00,1.1506196
ArchiSteamFarm-SE,treatment,20,23717869422,2026-03-29T20:03:32.869842+00:00,0.3512447
ArchiSteamFarm-SE,baseline,21,23717911516,2026-03-29T20:05:39.801976+00:00,1.1450771
ArchiSteamFarm-SE,treatment,21,23717984030,2026-03-29T20:09:28.714151+00:00,0.3393648
ArchiSteamFarm-SE,baseline,22,23718026307,2026-03-29T20:11:36.097594+00:00,1.1170367
ArchiSteamFarm-SE,treatment,22,23718098949,2026-03-29T20:15:09.098672+00:00,0.33044
ArchiSteamFarm-SE,baseline,23,23718133298,2026-03-29T20:16:56.211858+00:00,1.1771671
ArchiSteamFarm-SE,treatment,23,23718205655,2026-03-29T20:20:45.488167+00:00,0.3917971
ArchiSteamFarm-SE,treatment,24,23718279819,2026-03-29T20:24:31.675059+00:00,0.3177651
ArchiSteamFarm-SE,baseline,25,23718312836,2026-03-29T20:26:18.091953+00:00,1.12883769
ArchiSteamFarm-SE,treatment,25,23718376467,2026-03-29T20:29:46.663956+00:00,0.34478033
ArchiSteamFarm-SE,baseline,26,23718412250,2026-03-29T20:31:33.566865+00:00,1.1684787
ArchiSteamFarm-SE,treatment,26,23718488285,2026-03-29T20:35:27.350702+00:00,0.333625
ArchiSteamFarm-SE,baseline,27,23718528533,2026-03-29T20:37:34.223641+00:00,1.1795566
ArchiSteamFarm-SE,treatment,27,23718599759,2026-03-29T20:41:22.663798+00:00,0.3560756
ArchiSteamFarm-SE,baseline,28,23718640171,2026-03-29T20:43:29.663624+00:00,1.1343917
ArchiSteamFarm-SE,treatment,28,23718711063,2026-03-29T20:47:18.111583+00:00,0.3229044
ArchiSteamFarm-SE,baseline,29,23718743344,2026-03-29T20:49:04.491974+00:00,1.1244732
ArchiSteamFarm-SE,treatment,29,23718815342,2026-03-29T20:52:52.978625+00:00,0.3808543
ArchiSteamFarm-SE,baseline,30,23718855628,2026-03-29T20:55:05.676068+00:00,1.1515285
ArchiSteamFarm-SE,treatment,30,23718924570,2026-03-29T20:58:54.906700+00:00,0.3628684
