repo,condition,run_index,run_id,dispatched_at,total_energy_j
rq-SE,baseline,1,23714409258,2026-03-29T17:08:40.531244+00:00,0.0412516
rq-SE,treatment,1,23714425550,2026-03-29T17:09:29.682542+00:00,0.05348235
rq-SE,baseline,2,23714442819,2026-03-29T17:10:22.711185+00:00,0.0340615
rq-SE,treatment,2,23714459784,2026-03-29T17:11:09.515388+00:00,0.0560585
rq-SE,baseline,3,23714473731,2026-03-29T17:11:57.186609+00:00,0.0447962
rq-SE,treatment,3,23714490404,2026-03-29T17:12:44.956245+00:00,0.06196307
rq-SE,baseline,4,23714505157,2026-03-29T17:13:32.436628+00:00,0.0392449
rq-SE,treatment,4,23714521845,2026-03-29T17:14:19.327012+00:00,0.0380418
rq-SE,baseline,5,23714537207,2026-03-29T17:15:06.352787+00:00,0.056416
rq-SE,treatment,5,23714553948,2026-03-29T17:15:53.530478+00:00,0.04604122
rq-SE,baseline,6,23714569033,2026-03-29T17:16:40.062997+00:00,0.0430505
rq-SE,treatment,6,23714583494,2026-03-29T17:17:27.682452+00:00,0.0401462
rq-SE,baseline,7,23714599273,2026-03-29T17:18:15.012597+00:00,0.0417779
rq-SE,treatment,7,23714614997,2026-03-29T17:19:08.008950+00:00,0.0417096
rq-SE,baseline,8,23714629868,2026-03-29T17:19:53.582487+00:00,0.0526474
rq-SE,treatment,8,23714646320,2026-03-29T17:20:39.047891+00:00,0.0342786
rq-SE,baseline,9,23714661715,2026-03-29T17:21:25.431787+00:00,0.0538137
rq-SE,treatment,9,23714678238,2026-03-29T17:22:11.100486+00:00,0.05179438
rq-SE,baseline,10,23714692410,2026-03-29T17:22:56.671044+00:00,0.0412979
rq-SE,treatment,10,23714707615,2026-03-29T17:23:41.815302+00:00,0.0502755
rq-SE,baseline,11,23714722628,2026-03-29T17:24:27.382619+00:00,0.0321787
rq-SE,treatment,11,23714737531,2026-03-29T17:25:12.567356+00:00,0.0356139
rq-SE,baseline,12,23714753394,2026-03-29T17:25:57.819411+00:00,0.033147599
rq-SE,treatment,12,23714767991,2026-03-29T17:26:43.587727+00:00,0.034363
rq-SE,baseline,13,23714784688,2026-03-29T17:27:28.966684+00:00,0.04002441
rq-SE,treatment,13,23714799520,2026-03-29T17:28:14.621434+00:00,0.0355815
rq-SE,baseline,14,23714814815,2026-03-29T17:28:59.881226+00:00,0.037867009
rq-SE,treatment,14,23714829892,2026-03-29T17:29:45.149670+00:00,0.04867128
rq-SE,baseline,15,23714846047,2026-03-29T17:30:30.918990+00:00,0.0324261
rq-SE,treatment,15,23714864231,2026-03-29T17:31:16.286854+00:00,0.0493905
rq-SE,baseline,16,23714879721,2026-03-29T17:32:06.765534+00:00,0.0610492
rq-SE,treatment,16,23714895886,2026-03-29T17:32:52.229109+00:00,0.0354221
rq-SE,baseline,17,23714910712,2026-03-29T17:33:37.693616+00:00,0.0451514
rq-SE,treatment,17,23714925913,2026-03-29T17:34:22.953043+00:00,0.0440453
rq-SE,baseline,18,23714943216,2026-03-29T17:35:13.450204+00:00,0.0412218
rq-SE,treatment,18,23714958669,2026-03-29T17:35:59.523019+00:00,0.0436175
rq-SE,baseline,19,23714973728,2026-03-29T17:36:44.889856+00:00,0.03399285
rq-SE,treatment,19,23714987331,2026-03-29T17:37:30.145285+00:00,0.0517129
rq-SE,baseline,20,23715002017,2026-03-29T17:38:16.225008+00:00,0.0341922
rq-SE,treatment,20,23715016908,2026-03-29T17:39:01.486987+00:00,0.04377634
rq-SE,baseline,21,23715031246,2026-03-29T17:39:46.955245+00:00,0.0347887
rq-SE,treatment,21,23715048194,2026-03-29T17:40:32.316982+00:00,0.0542284
rq-SE,baseline,22,23715063475,2026-03-29T17:41:17.885060+00:00,0.0404702
rq-SE,treatment,22,23715081106,2026-03-29T17:42:08.582144+00:00,0.0465117
rq-SE,treatment,23,23715124744,2026-03-29T17:44:14.409348+00:00,0.0476478
rq-SE,baseline,24,23715141142,2026-03-29T17:45:00.716598+00:00,0.036269
rq-SE,treatment,24,23715157588,2026-03-29T17:45:50.986749+00:00,0.0418467
rq-SE,baseline,25,23715171408,2026-03-29T17:46:36.161322+00:00,0.0405702
rq-SE,treatment,25,23715186216,2026-03-29T17:47:21.393158+00:00,0.0480776
rq-SE,baseline,26,23715201007,2026-03-29T17:48:06.667266+00:00,0.04139193
rq-SE,treatment,26,23715215100,2026-03-29T17:48:52.239612+00:00,0.0463011
rq-SE,baseline,27,23715231615,2026-03-29T17:49:37.599641+00:00,0.0357933
rq-SE,treatment,27,23715245637,2026-03-29T17:50:23.271024+00:00,0.0333357
rq-SE,baseline,28,23715261856,2026-03-29T17:51:08.945816+00:00,0.0355242
rq-SE,treatment,28,23715278578,2026-03-29T17:51:59.218739+00:00,0.0446788
rq-SE,baseline,29,23715294246,2026-03-29T17:52:44.482019+00:00,0.03999
rq-SE,treatment,29,23715309445,2026-03-29T17:53:29.945989+00:00,0.0501823
rq-SE,baseline,30,23715324102,2026-03-29T17:54:15.308977+00:00,0.04528155
rq-SE,treatment,30,23715340810,2026-03-29T17:55:00.568620+00:00,0.0347598
